pkey,path_name,aside_interface,zside_interface,bandwidth
76,leaf4/Hu0/0/0/10_spine2/Hu0/0/0/14,leaf4/Hu0/0/0/10,spine2/Hu0/0/0/14,100Gbps
77,leaf4/Hu0/0/0/11_spine2/Hu0/0/0/15,leaf4/Hu0/0/0/11,spine2/Hu0/0/0/15,100Gbps
78,leaf4/Hu0/0/0/12_spine3/Hu0/0/0/12,leaf4/Hu0/0/0/12,spine3/Hu0/0/0/12,100Gbps
79,leaf4/Hu0/0/0/13_spine3/Hu0/0/0/13,leaf4/Hu0/0/0/13,spine3/Hu0/0/0/13,100Gbps
80,leaf4/Hu0/0/0/14_spine3/Hu0/0/0/14,leaf4/Hu0/0/0/14,spine3/Hu0/0/0/14,100Gbps
81,leaf4/Hu0/0/0/15_spine3/Hu0/0/0/15,leaf4/Hu0/0/0/15,spine3/Hu0/0/0/15,100Gbps
82,leaf4/Hu0/0/0/16_spine4/Hu0/0/0/16,leaf4/Hu0/0/0/16,spine4/Hu0/0/0/16,100Gbps
83,leaf4/Hu0/0/0/17_spine4/Hu0/0/0/17,leaf4/Hu0/0/0/17,spine4/Hu0/0/0/17,100Gbps
84,leaf4/Hu0/0/0/18_spine4/Hu0/0/0/18,leaf4/Hu0/0/0/18,spine4/Hu0/0/0/18,100Gbps
85,leaf4/Hu0/0/0/19_spine4/Hu0/0/0/19,leaf4/Hu0/0/0/19,spine4/Hu0/0/0/19,100Gbps
86,leaf4/Hu0/0/0/27_dr03/Hu0/0/0/1,leaf4/Hu0/0/0/27,dr03/Hu0/0/0/1,100Gbps
87,leaf4/Hu0/0/0/30_rswA5/Eth1/31,leaf4/Hu0/0/0/30,rswA5/Eth1/31,40Gbps
88,leaf4/Hu0/0/0/31_rswA6/Eth1/16,leaf4/Hu0/0/0/31,rswA6/Eth1/16,40Gbps
89,leaf5/Hu0/0/0/0_rswA3/Eth1/13,leaf5/Hu0/0/0/0,rswA3/Eth1/13,40Gbps
90,leaf5/Hu0/0/0/1_rswA4/Eth1/13,leaf5/Hu0/0/0/1,rswA4/Eth1/13,40Gbps
91,leaf5/Hu0/0/0/4_spine1/Hu0/0/0/16,leaf5/Hu0/0/0/4,spine1/Hu0/0/0/16,100Gbps
92,leaf5/Hu0/0/0/5_spine1/Hu0/0/0/17,leaf5/Hu0/0/0/5,spine1/Hu0/0/0/17,100Gbps
93,leaf5/Hu0/0/0/6_spine1/Hu0/0/0/18,leaf5/Hu0/0/0/6,spine1/Hu0/0/0/18,100Gbps
94,leaf5/Hu0/0/0/7_spine1/Hu0/0/0/19,leaf5/Hu0/0/0/7,spine1/Hu0/0/0/19,100Gbps
95,leaf5/Hu0/0/0/8_spine2/Hu0/0/0/16,leaf5/Hu0/0/0/8,spine2/Hu0/0/0/16,100Gbps
96,leaf5/Hu0/0/0/9_spine2/Hu0/0/0/17,leaf5/Hu0/0/0/9,spine2/Hu0/0/0/17,100Gbps
97,leaf5/Hu0/0/0/10_spine2/Hu0/0/0/18,leaf5/Hu0/0/0/10,spine2/Hu0/0/0/18,100Gbps
98,leaf5/Hu0/0/0/11_spine2/Hu0/0/0/19,leaf5/Hu0/0/0/11,spine2/Hu0/0/0/19,100Gbps
99,leaf5/Hu0/0/0/12_spine3/Hu0/0/0/16,leaf5/Hu0/0/0/12,spine3/Hu0/0/0/16,100Gbps
100,leaf5/Hu0/0/0/13_spine3/Hu0/0/0/17,leaf5/Hu0/0/0/13,spine3/Hu0/0/0/17,100Gbps
101,leaf5/Hu0/0/0/14_spine3/Hu0/0/0/18,leaf5/Hu0/0/0/14,spine3/Hu0/0/0/18,100Gbps
102,leaf5/Hu0/0/0/15_spine3/Hu0/0/0/19,leaf5/Hu0/0/0/15,spine3/Hu0/0/0/19,100Gbps
103,leaf5/Hu0/0/0/16_spine4/Hu0/0/0/16,leaf5/Hu0/0/0/16,spine4/Hu0/0/0/16,100Gbps
104,leaf5/Hu0/0/0/17_spine4/Hu0/0/0/17,leaf5/Hu0/0/0/17,spine4/Hu0/0/0/17,100Gbps
105,leaf5/Hu0/0/0/18_spine4/Hu0/0/0/18,leaf5/Hu0/0/0/18,spine4/Hu0/0/0/18,100Gbps
106,leaf5/Hu0/0/0/19_spine4/Hu0/0/0/19,leaf5/Hu0/0/0/19,spine4/Hu0/0/0/19,100Gbps
107,leaf5/Hu0/0/0/30_dr02/Hu0/0/0/0,leaf5/Hu0/0/0/30,dr02/Hu0/0/0/0,100Gbps
108,leaf5/Hu0/0/0/31_dr02/Hu0/0/0/1,leaf5/Hu0/0/0/31,dr02/Hu0/0/0/1,100Gbps
109,leaf6/Hu0/0/0/0_rswA3/Eth1/14,leaf6/Hu0/0/0/0,rswA3/Eth1/14,40Gbps
110,leaf6/Hu0/0/0/1_rswA4/Eth1/14,leaf6/Hu0/0/0/1,rswA4/Eth1/14,40Gbps
111,leaf6/Hu0/0/0/4_spine1/Hu0/0/0/20,leaf6/Hu0/0/0/4,spine1/Hu0/0/0/20,100Gbps
112,leaf6/Hu0/0/0/5_spine1/Hu0/0/0/21,leaf6/Hu0/0/0/5,spine1/Hu0/0/0/21,100Gbps
113,leaf6/Hu0/0/0/6_spine1/Hu0/0/0/22,leaf6/Hu0/0/0/6,spine1/Hu0/0/0/22,100Gbps
114,leaf6/Hu0/0/0/7_spine1/Hu0/0/0/23,leaf6/Hu0/0/0/7,spine1/Hu0/0/0/23,100Gbps
115,leaf6/Hu0/0/0/8_spine2/Hu0/0/0/20,leaf6/Hu0/0/0/8,spine2/Hu0/0/0/20,100Gbps
116,leaf6/Hu0/0/0/9_spine2/Hu0/0/0/21,leaf6/Hu0/0/0/9,spine2/Hu0/0/0/21,100Gbps
117,leaf6/Hu0/0/0/10_spine2/Hu0/0/0/22,leaf6/Hu0/0/0/10,spine2/Hu0/0/0/22,100Gbps
118,leaf6/Hu0/0/0/11_spine2/Hu0/0/0/23,leaf6/Hu0/0/0/11,spine2/Hu0/0/0/23,100Gbps
119,leaf6/Hu0/0/0/12_spine3/Hu0/0/0/20,leaf6/Hu0/0/0/12,spine3/Hu0/0/0/20,100Gbps
120,leaf6/Hu0/0/0/13_spine3/Hu0/0/0/21,leaf6/Hu0/0/0/13,spine3/Hu0/0/0/21,100Gbps
121,leaf6/Hu0/0/0/14_spine3/Hu0/0/0/22,leaf6/Hu0/0/0/14,spine3/Hu0/0/0/22,100Gbps
122,leaf6/Hu0/0/0/15_spine3/Hu0/0/0/23,leaf6/Hu0/0/0/15,spine3/Hu0/0/0/23,100Gbps
123,leaf6/Hu0/0/0/16_spine4/Hu0/0/0/20,leaf6/Hu0/0/0/16,spine4/Hu0/0/0/20,100Gbps
124,leaf6/Hu0/0/0/17_spine4/Hu0/0/0/21,leaf6/Hu0/0/0/17,spine4/Hu0/0/0/21,100Gbps
125,leaf6/Hu0/0/0/18_spine4/Hu0/0/0/22,leaf6/Hu0/0/0/18,spine4/Hu0/0/0/22,100Gbps
126,leaf6/Hu0/0/0/19_spine4/Hu0/0/0/23,leaf6/Hu0/0/0/19,spine4/Hu0/0/0/23,100Gbps
127,leaf6/Hu0/0/0/29_leaf7/Hu0/0/0/28,leaf6/Hu0/0/0/29,leaf7/Hu0/0/0/28,100Gbps
128,leaf6/Hu0/0/0/30_dr02/Hu0/0/0/2,leaf6/Hu0/0/0/30,dr02/Hu0/0/0/2,100Gbps
129,leaf6/Hu0/0/0/31_dr02/Hu0/0/0/3,leaf6/Hu0/0/0/31,dr02/Hu0/0/0/3,100Gbps
130,leaf7/Hu0/0/0/0_rswA3/Eth1/15,leaf7/Hu0/0/0/0,rswA3/Eth1/15,40Gbps
131,leaf7/Hu0/0/0/1_rswA4/Eth1/15,leaf7/Hu0/0/0/1,rswA4/Eth1/15,40Gbps
132,leaf7/Hu0/0/0/4_spine1/Hu0/0/0/24,leaf7/Hu0/0/0/4,spine1/Hu0/0/0/24,100Gbps
133,leaf7/Hu0/0/0/5_spine1/Hu0/0/0/25,leaf7/Hu0/0/0/5,spine1/Hu0/0/0/25,100Gbps
134,leaf7/Hu0/0/0/6_spine1/Hu0/0/0/26,leaf7/Hu0/0/0/6,spine1/Hu0/0/0/26,100Gbps
135,leaf7/Hu0/0/0/7_spine1/Hu0/0/0/27,leaf7/Hu0/0/0/7,spine1/Hu0/0/0/27,100Gbps
136,leaf7/Hu0/0/0/8_spine2/Hu0/0/0/24,leaf7/Hu0/0/0/8,spine2/Hu0/0/0/24,100Gbps
137,leaf7/Hu0/0/0/9_spine2/Hu0/0/0/25,leaf7/Hu0/0/0/9,spine2/Hu0/0/0/25,100Gbps
138,leaf7/Hu0/0/0/10_spine2/Hu0/0/0/26,leaf7/Hu0/0/0/10,spine2/Hu0/0/0/26,100Gbps
139,leaf7/Hu0/0/0/11_spine2/Hu0/0/0/27,leaf7/Hu0/0/0/11,spine2/Hu0/0/0/27,100Gbps
140,leaf7/Hu0/0/0/12_spine3/Hu0/0/0/24,leaf7/Hu0/0/0/12,spine3/Hu0/0/0/24,100Gbps
141,leaf7/Hu0/0/0/13_spine3/Hu0/0/0/25,leaf7/Hu0/0/0/13,spine3/Hu0/0/0/25,100Gbps
142,leaf7/Hu0/0/0/14_spine3/Hu0/0/0/26,leaf7/Hu0/0/0/14,spine3/Hu0/0/0/26,100Gbps
143,leaf7/Hu0/0/0/15_spine3/Hu0/0/0/27,leaf7/Hu0/0/0/15,spine3/Hu0/0/0/27,100Gbps
144,leaf7/Hu0/0/0/16_spine4/Hu0/0/0/24,leaf7/Hu0/0/0/16,spine4/Hu0/0/0/24,100Gbps
145,leaf7/Hu0/0/0/17_spine4/Hu0/0/0/25,leaf7/Hu0/0/0/17,spine4/Hu0/0/0/25,100Gbps
146,leaf7/Hu0/0/0/18_spine4/Hu0/0/0/26,leaf7/Hu0/0/0/18,spine4/Hu0/0/0/26,100Gbps
147,leaf7/Hu0/0/0/19_spine4/Hu0/0/0/27,leaf7/Hu0/0/0/19,spine4/Hu0/0/0/27,100Gbps
148,leaf7/Hu0/0/0/29_leaf8/Hu0/0/0/28,leaf7/Hu0/0/0/29,leaf8/Hu0/0/0/28,100Gbps
149,leaf7/Hu0/0/0/30_dr02/Hu0/0/0/4,leaf7/Hu0/0/0/30,dr02/Hu0/0/0/4,100Gbps
150,leaf7/Hu0/0/0/31_dr02/Hu0/0/0/5,leaf7/Hu0/0/0/31,dr02/Hu0/0/0/5,100Gbps
151,leaf8/Hu0/0/0/0_rswA3/Eth1/16,leaf8/Hu0/0/0/0,rswA3/Eth1/16,40Gbps
152,leaf8/Hu0/0/0/1_rswA4/Eth1/16,leaf8/Hu0/0/0/1,rswA4/Eth1/16,40Gbps
153,leaf8/Hu0/0/0/4_spine1/Hu0/0/0/28,leaf8/Hu0/0/0/4,spine1/Hu0/0/0/28,100Gbps
154,leaf8/Hu0/0/0/5_spine1/Hu0/0/0/29,leaf8/Hu0/0/0/5,spine1/Hu0/0/0/29,100Gbps
155,leaf8/Hu0/0/0/6_spine1/Hu0/0/0/30,leaf8/Hu0/0/0/6,spine1/Hu0/0/0/30,100Gbps
156,leaf8/Hu0/0/0/7_spine1/Hu0/0/0/31,leaf8/Hu0/0/0/7,spine1/Hu0/0/0/31,100Gbps
157,leaf8/Hu0/0/0/8_spine2/Hu0/0/0/28,leaf8/Hu0/0/0/8,spine2/Hu0/0/0/28,100Gbps
158,leaf8/Hu0/0/0/9_spine2/Hu0/0/0/29,leaf8/Hu0/0/0/9,spine2/Hu0/0/0/29,100Gbps
159,leaf8/Hu0/0/0/10_spine2/Hu0/0/0/30,leaf8/Hu0/0/0/10,spine2/Hu0/0/0/30,100Gbps
160,leaf8/Hu0/0/0/11_spine2/Hu0/0/0/31,leaf8/Hu0/0/0/11,spine2/Hu0/0/0/31,100Gbps
161,leaf8/Hu0/0/0/12_spine3/Hu0/0/0/28,leaf8/Hu0/0/0/12,spine3/Hu0/0/0/28,100Gbps
162,leaf8/Hu0/0/0/13_spine3/Hu0/0/0/29,leaf8/Hu0/0/0/13,spine3/Hu0/0/0/29,100Gbps
163,leaf8/Hu0/0/0/14_spine3/Hu0/0/0/30,leaf8/Hu0/0/0/14,spine3/Hu0/0/0/30,100Gbps
164,leaf8/Hu0/0/0/15_spine3/Hu0/0/0/31,leaf8/Hu0/0/0/15,spine3/Hu0/0/0/31,100Gbps
165,leaf8/Hu0/0/0/16_spine4/Hu0/0/0/28,leaf8/Hu0/0/0/16,spine4/Hu0/0/0/28,100Gbps
166,leaf8/Hu0/0/0/17_spine4/Hu0/0/0/29,leaf8/Hu0/0/0/17,spine4/Hu0/0/0/29,100Gbps
167,leaf8/Hu0/0/0/18_spine4/Hu0/0/0/30,leaf8/Hu0/0/0/18,spine4/Hu0/0/0/30,100Gbps
168,leaf8/Hu0/0/0/19_spine4/Hu0/0/0/31,leaf8/Hu0/0/0/19,spine4/Hu0/0/0/31,100Gbps
169,leaf8/Hu0/0/0/26_dr03/Hu0/0/0/0,leaf8/Hu0/0/0/26,dr03/Hu0/0/0/0,100Gbps
170,leaf8/Hu0/0/0/28_leaf7/Hu0/0/0/29,leaf8/Hu0/0/0/28,leaf7/Hu0/0/0/29,100Gbps
171,leaf8/Hu0/0/0/30_dr02/Hu0/0/0/6,leaf8/Hu0/0/0/30,dr02/Hu0/0/0/6,100Gbps
172,leaf8/Hu0/0/0/31_dr02/Hu0/0/0/7,leaf8/Hu0/0/0/31,dr02/Hu0/0/0/7,100Gbps
173,spine1/Hu0/0/0/0_leaf1/Hu0/0/0/4,spine1/Hu0/0/0/0,leaf1/Hu0/0/0/4,100Gbps
174,spine1/Hu0/0/0/1_leaf1/Hu0/0/0/5,spine1/Hu0/0/0/1,leaf1/Hu0/0/0/5,100Gbps
175,spine1/Hu0/0/0/2_leaf1/Hu0/0/0/6,spine1/Hu0/0/0/2,leaf1/Hu0/0/0/6,100Gbps
176,spine1/Hu0/0/0/3_leaf1/Hu0/0/0/7,spine1/Hu0/0/0/3,leaf1/Hu0/0/0/7,100Gbps
177,spine1/Hu0/0/0/4_leaf2/Hu0/0/0/4,spine1/Hu0/0/0/4,leaf2/Hu0/0/0/4,100Gbps
178,spine1/Hu0/0/0/5_leaf2/Hu0/0/0/5,spine1/Hu0/0/0/5,leaf2/Hu0/0/0/5,100Gbps
179,spine1/Hu0/0/0/6_leaf2/Hu0/0/0/6,spine1/Hu0/0/0/6,leaf2/Hu0/0/0/6,100Gbps
180,spine1/Hu0/0/0/7_leaf2/Hu0/0/0/7,spine1/Hu0/0/0/7,leaf2/Hu0/0/0/7,100Gbps
181,spine1/Hu0/0/0/8_leaf3/Hu0/0/0/4,spine1/Hu0/0/0/8,leaf3/Hu0/0/0/4,100Gbps
182,spine1/Hu0/0/0/9_leaf3/Hu0/0/0/5,spine1/Hu0/0/0/9,leaf3/Hu0/0/0/5,100Gbps
183,spine1/Hu0/0/0/10_leaf3/Hu0/0/0/6,spine1/Hu0/0/0/10,leaf3/Hu0/0/0/6,100Gbps
184,spine1/Hu0/0/0/11_leaf3/Hu0/0/0/7,spine1/Hu0/0/0/11,leaf3/Hu0/0/0/7,100Gbps
185,spine1/Hu0/0/0/12_leaf4/Hu0/0/0/4,spine1/Hu0/0/0/12,leaf4/Hu0/0/0/4,100Gbps
186,spine1/Hu0/0/0/13_leaf4/Hu0/0/0/5,spine1/Hu0/0/0/13,leaf4/Hu0/0/0/5,100Gbps
187,spine1/Hu0/0/0/14_leaf4/Hu0/0/0/6,spine1/Hu0/0/0/14,leaf4/Hu0/0/0/6,100Gbps
188,spine1/Hu0/0/0/15_leaf4/Hu0/0/0/7,spine1/Hu0/0/0/15,leaf4/Hu0/0/0/7,100Gbps
189,spine1/Hu0/0/0/16_leaf5/Hu0/0/0/4,spine1/Hu0/0/0/16,leaf5/Hu0/0/0/4,100Gbps
190,spine1/Hu0/0/0/17_leaf5/Hu0/0/0/5,spine1/Hu0/0/0/17,leaf5/Hu0/0/0/5,100Gbps
191,spine1/Hu0/0/0/18_leaf5/Hu0/0/0/6,spine1/Hu0/0/0/18,leaf5/Hu0/0/0/6,100Gbps
192,spine1/Hu0/0/0/19_leaf5/Hu0/0/0/7,spine1/Hu0/0/0/19,leaf5/Hu0/0/0/7,100Gbps
193,spine1/Hu0/0/0/20_leaf6/Hu0/0/0/8,spine1/Hu0/0/0/20,leaf6/Hu0/0/0/8,100Gbps
194,spine1/Hu0/0/0/21_leaf6/Hu0/0/0/9,spine1/Hu0/0/0/21,leaf6/Hu0/0/0/9,100Gbps
195,spine1/Hu0/0/0/22_leaf6/Hu0/0/0/10,spine1/Hu0/0/0/22,leaf6/Hu0/0/0/10,100Gbps
196,spine1/Hu0/0/0/23_leaf6/Hu0/0/0/11,spine1/Hu0/0/0/23,leaf6/Hu0/0/0/11,100Gbps
197,spine1/Hu0/0/0/24_leaf7/Hu0/0/0/8,spine1/Hu0/0/0/24,leaf7/Hu0/0/0/8,100Gbps
198,spine1/Hu0/0/0/25_leaf7/Hu0/0/0/9,spine1/Hu0/0/0/25,leaf7/Hu0/0/0/9,100Gbps
199,spine1/Hu0/0/0/26_leaf7/Hu0/0/0/10,spine1/Hu0/0/0/26,leaf7/Hu0/0/0/10,100Gbps
200,spine1/Hu0/0/0/27_leaf7/Hu0/0/0/11,spine1/Hu0/0/0/27,leaf7/Hu0/0/0/11,100Gbps
